,year,month,day,temp,wind,humidity,barometer,visibility,Elec_kW,Gas_mxm,cum_power
2539,2019,2,3,3.6363636363636362,10.75,83.0,1020.75,11.711594652565118,10.0,17.0,3.0
2540,2019,2,4,2.6,20.466666666666665,82.77777777777777,1024.1333333333334,10.452488170021924,18.0,20.0,2.0
2541,2019,2,5,4.065217391304348,11.869565217391305,87.52173913043478,1026.2173913043478,10.343321483641613,22.0,18.0,2.0
2542,2019,2,6,5.195652173913044,15.130434782608695,87.32608695652173,1020.695652173913,8.364689961741195,10.0,15.0,2.0
2543,2019,2,7,8.456521739130435,23.804347826086957,76.47826086956522,1009.3478260869565,10.081325767595496,12.0,14.0,5.0
2544,2019,2,8,8.340909090909092,26.34090909090909,81.79545454545455,1007.3181818181819,10.344426270420477,14.0,15.0,1.0
2545,2019,2,9,8.9375,25.958333333333332,71.83333333333333,1003.7708333333334,10.493524632734822,17.0,15.0,4.0
2546,2019,2,10,7.630434782608695,26.565217391304348,85.1086956521739,995.6739130434783,8.971133312257654,8.0,14.0,2.0
2547,2019,2,11,5.2727272727272725,14.840909090909092,81.31818181818181,1020.4545454545455,12.872250401327413,13.0,16.0,4.0
2548,2019,2,12,4.458333333333333,10.6875,83.97916666666667,1034.0416666666667,8.229521875154571,6.0,15.0,9.0
2549,2019,2,13,5.1063829787234045,12.085106382978724,76.59574468085107,1035.4468085106382,11.741374280545447,14.0,18.0,8.0
2550,2019,2,14,4.363636363636363,5.136363636363637,76.0,1034.409090909091,10.90125187173711,11.0,14.0,9.0
2551,2019,2,15,7.828571428571428,6.857142857142857,64.37142857142857,1028.6857142857143,15.243840756364868,6.0,14.0,9.0
2552,2019,2,16,6.413043478260869,7.913043478260869,71.34782608695652,1025.1521739130435,14.427284399052882,6.0,13.0,9.0
2553,2019,2,17,7.822222222222222,8.555555555555555,63.31111111111111,1020.2444444444444,13.304597450990089,9.0,14.0,9.0
2554,2019,2,18,7.863636363636363,8.227272727272727,66.0909090909091,1016.8863636363636,14.615201203307743,9.0,12.0,9.0
2555,2019,2,19,8.282608695652174,14.152173913043478,76.3913043478261,1019.195652173913,11.693770524590795,8.0,13.0,9.0
2556,2019,2,20,7.608695652173913,10.478260869565217,73.02173913043478,1022.5869565217391,13.813713491228864,6.0,13.0,11.0
2557,2019,2,21,9.363636363636363,11.272727272727273,79.77272727272727,1027.0681818181818,9.127347259507074,15.0,12.0,6.0
2558,2019,2,22,9.232558139534884,6.906976744186046,89.30232558139535,1035.6279069767443,4.573374008289133,8.0,10.0,4.0
2559,2019,2,23,6.913043478260869,8.282608695652174,81.6086956521739,1036.2608695652175,8.520612979606058,3.0,12.0,11.0
2560,2019,2,24,7.116279069767442,4.8604651162790695,56.86046511627907,1036.5348837209303,14.76904309175676,10.0,11.0,8.0
2561,2019,2,25,9.5625,4.9375,52.458333333333336,1036.6666666666667,14.897267769698765,4.0,10.0,11.0
2562,2019,2,26,8.652173913043478,3.739130434782609,67.97826086956522,1033.4565217391305,15.07945831209636,4.0,11.0,11.0
2563,2019,2,27,9.48936170212766,6.170212765957447,67.44680851063829,1025.468085106383,13.184150688434736,7.0,10.0,11.0
2564,2019,2,28,9.272727272727273,14.977272727272727,81.22727272727273,1016.4772727272727,7.295842045623171,16.0,12.0,3.0
2565,2019,3,1,7.5,16.304347826086957,87.8695652173913,1016.1521739130435,7.089950128066995,13.0,12.0,3.0
2566,2019,3,2,8.72340425531915,13.48936170212766,85.48936170212765,1013.8085106382979,7.821346370602368,15.0,12.0,2.0
2567,2019,3,3,11.787234042553191,25.851063829787233,79.42553191489361,1004.531914893617,10.316205131767127,15.0,12.0,2.0
2568,2019,3,4,9.25,29.020833333333332,70.5,994.5208333333334,10.446830637582226,18.0,13.0,7.0
2569,2019,3,5,7.770833333333333,19.270833333333332,74.625,1005.3541666666666,11.037704963644453,7.0,13.0,9.0
2570,2019,3,6,10.851063829787234,18.97872340425532,75.7872340425532,997.7021276595744,12.508796683642055,9.0,13.0,6.0
2571,2019,3,7,9.5,25.695652173913043,76.06521739130434,993.7173913043479,9.994369245856367,9.0,13.0,6.0
2572,2019,3,8,8.520833333333334,18.104166666666668,72.79166666666667,1010.4791666666666,10.535191299401488,15.0,12.0,8.0
2573,2019,3,9,10.18918918918919,26.64864864864865,77.67567567567568,1010.5945945945946,9.970633625166936,15.0,12.0,5.0
2574,2019,3,10,7.916666666666667,36.291666666666664,65.58333333333333,1010.25,10.647978186674584,9.0,13.0,7.0
2575,2019,3,11,5.808510638297872,24.95744680851064,70.85106382978724,1020.2553191489362,11.16837115172716,10.0,15.0,10.0
2576,2019,3,12,7.288888888888889,25.533333333333335,68.4,1012.1777777777778,12.319533725742357,9.0,14.0,5.0
2577,2019,3,13,7.297872340425532,26.319148936170212,76.40425531914893,1005.6382978723404,10.40865018801324,11.0,15.0,7.0
